businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,成都,成都二十三魔方生物科技有限公司,23魔方,50-150人,2018/5/22 11:13,高新区,本科,"医疗健康,数据服务",[],全职,4352690,8k-15k,1-3年
,成都,成都尼毕鲁科技股份有限公司,tap4fun,150-500人,2018/5/22 11:30,高新区,本科,"移动互联网,游戏","['媒体', '社交', '广告营销', '推广', '广告投放']",全职,4537478,10k-20k,不限
,成都,贝壳金控控股集团有限公司,贝壳金控,500-2000人,2018/5/23 15:04,高新区,本科,金融、移动互联网,[],全职,4100773,18k-36k,3-5年
"['抚琴', '抚琴小区', '营门口']",成都,成都神鸟数据咨询有限公司,神鸟数据,150-500人,2018/5/17 17:49,金牛区,硕士,"企业服务,数据服务","['银行', '房产服务', '行业研究', '市场分析']",全职,3214823,3k-6k,1-3年
,成都,成都二十三魔方生物科技有限公司,23魔方,50-150人,2018/5/22 11:13,高新区,本科,"医疗健康,数据服务",[],全职,4044148,7k-14k,1-3年
,成都,成都明兴信息技术有限公司,成都明兴信息技术有限公司,15-50人,2018/5/14 11:12,高新区,本科,"电子商务,企业服务",[],全职,4539680,12k-24k,3-5年
['中和'],成都,成都豆老头网络科技有限公司,豆老头,50-150人,2018/5/18 11:09,高新区,不限,移动互联网,[],全职,4382899,3k-5k,不限
,哈尔滨,哈尔滨安天科技股份有限公司,安天,500-2000人,2018/5/21 13:03,松北区,本科,信息安全,[],全职,4116516,7k-9k,3-5年
"['会展中心', '长江路']",哈尔滨,黑龙江鑫联华信息股份有限公司,北京华育兴业,150-500人,2018/5/7 10:29,南岗区,本科,"教育,移动互联网",[],全职,4500606,3k-4k,1年以下
,哈尔滨,哈尔滨安天科技股份有限公司,安天,500-2000人,2018/5/21 13:03,松北区,本科,信息安全,[],全职,4116095,5k-8k,不限
,厦门,趣游（厦门）科技有限公司,趣游（厦门）科技有限公司,150-500人,2018/5/23 9:27,湖里区,本科,移动互联网,"['游戏', '大数据', '数据挖掘']",全职,4574921,8k-16k,1-3年
,厦门,咪咕文化科技有限公司,咪咕,2000人以上,2018/5/23 11:18,思明区,本科,"移动互联网,文化娱乐","['媒体', '运营', '大数据']",全职,4595522,10k-20k,1-3年
,厦门,厦门美柚信息科技有限公司,美柚,500-2000人,2018/5/23 10:33,思明区,本科,移动互联网,[],全职,2758912,8k-15k,1-3年
,厦门,厦门航空有限公司,厦门航空,2000人以上,2018/4/23 14:55,湖里区,本科,生活服务,[],全职,3445253,12k-22k,3-5年
,厦门,网宿科技股份有限公司北京分公司,网宿科技,2000人以上,2018/5/23 15:34,思明区,本科,移动互联网,[],全职,3404120,8k-15k,3-5年
,厦门,厦门市巨龙信息科技有限公司,厦门巨龙,150-500人,2018/5/23 9:13,湖里区,本科,"信息安全,数据服务",[],全职,4094848,10k-15k,3-5年
,厦门,北京三快在线科技有限公司,美团点评,2000人以上,2018/5/22 14:07,思明区,本科,"移动互联网,O2O","['支付', '数据挖掘']",全职,3853137,25k-35k,3-5年
"['禾山', '金尚路', '兴隆路']",厦门,厦门数析信息科技有限公司,Datartisan 数据工匠,少于15人,2018/5/18 9:55,湖里区,本科,"企业服务,数据服务",[],全职,4248764,6k-10k,1年以下
"['前埔医院', '莲前']",厦门,厦门尚为科技有限公司,厦门尚为科技,50-150人,2018/5/16 14:24,湖里区,本科,数据服务,"['金融', '高级', '大数据', '数据挖掘', 'BI']",全职,4096242,8k-15k,1-3年
,厦门,厦门美图之家科技有限公司,美图公司,2000人以上,2018/5/16 16:02,思明区,本科,"移动互联网,硬件",[],全职,4416953,10k-20k,1-3年
,厦门,欧梵臣（厦门）服饰有限公司,欧梵臣,150-500人,2018/5/19 17:09,思明区,不限,电子商务,[],全职,4318279,6K-8K,不限
